Firm ID,Firm Name,GP or LP,Firm Type,Firm Country,Firm Region,ESG Status,ESG Policy Date Established,Impact Investing,ESG Status Date Established,General Policy Applied to Asset Classes,Asset class specific Policy,Asset class specific Policy 2,Asset class specific Policy 3,Socially Responsible Investment,ESG Policy URL,Additional Information,Active On Pro,Internal note date,Internal note update type,Internal note note type,Asia Investor Group on Climate Change,Asian Corporate Governance Association,Australian Council of Superannuation Investors,Carbon Disclosure Project (Formerly),Ceres,Climate Action 100+,Council of Institutional Investors,ESG Research Austrailia,Eumedion,Eurosif,FAIRR,Global Impact Investing Network,Global Real Estate Sustainability Benchmark – Infrastructure,Global Real Estate Sustainability Benchmark – Real Estate,IFC Operating Principles for Impact Management,Institutional Investors Group on Climate Change,Interfaith Center on Corporate Responsibility,International Corporate Governance Network,Invest Europe Responsible Investment Roundtable,Investor Group on Climate Change,Local Authority Pension Fund Forum,Principles for Responsible Investment (PRI),Responsible Investment Association (RIA),Responsible Investment Association Australia,Sustainability Accounting Standards Board,Task Force on Climate-related Financial Disclosures,UK Sustainable Investment and Finance Association,United Nations Environment Programme Finance Initiative,United Nations Global Compact,US SIF,ESG Sub Policies Type,ESG Sub Policies Date,ESG Sub Policies Policy Link,Sub Policy 2,Sub Policy 3,Dupes?
28,PineBridge Investments,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, PD, NR, VC",N/A,,,Yes,https://www.pinebridge.com/insights/responsible-investing,,"PE, PD, NR, VC",43724,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,PineBridge Investments,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,,43101,"PE, PD, NR, VC",N/A,,,No,,No information found on their website related to ESG/SRI/Impact Investing.,"PE,PD",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,Arsenal Capital Partners,LP,Private Equity Firm,US,North America,No,,No,,RE,N/A,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,Arsenal Capital Partners,GP,Private Equity Firm,US,North America,No,,No,,RE,RE,,,Yes - Sole focus,,Danske Bank is the parent company of Danske Private Equity which is a signatory of the Principles for Responsible Investment (PRI). It incorporates ESG in its property investments mentioned in its transparency report.,No,43697,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
77,Ardian,LP,Private Equity Firm (Investor),France,West Europe,Yes,,No,,"PE, RE, INF, PD, VC",N/A,,,,https://www.ardian.com/sites/default/files/docs/Responsible_Investment_Policy_Ardian_Feb2018_EN.pdf,,"PE, RE, INF, PD, VC",43720,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
77,Ardian,GP,Private Equity Firm (Investor),France,West Europe,Yes,,No,43132,"PE, RE, INF, PD, VC",HF,,,Yes - Sole focus,,Danske Bank is the parent company of Danske Private Equity which is a signatory of the Principles for Responsible Investment (PRI). It incorporates ESG in its hedge fund investments mentioned in its transparency report.,No,43697,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
80,Bain Capital,GP,Private Equity Firm,US,North America,No,,Yes - Bespoke investment arm/funds,,,N/A,,,,https://www.arcanopartners.com/gestion-de-activos/unpri/,,"PE,NR,VC",43693,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Modern Slavery & Human Trafficking,43494,https://www.baincapital.com/sites/default/files/modern_slavery/Bain_Capital_Statement_on_Modern_Slavery_Act_2018-Final.pdf,0,0,2
80,Bain Capital,GP (HF),Private Equity Firm,US,North America,Yes,42979,No,43556,N/A,N/A,,,,https://www.bmo.com/pyrford/pdf/Pyrford_ESG_Report.pdf,,HF,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Modern Slavery & Human Trafficking,43494,https://www.baincapital.com/sites/default/files/modern_slavery/Bain_Capital_Statement_on_Modern_Slavery_Act_2018-Final.pdf,0,0,2
85,Vontobel Private Equity,LP,Private Equity Fund of Funds Manager,Switzerland,West Europe,Yes,,No,,PE,N/A,,,,,"Vontobel Private Equity is a signatory to the Principles for Responsible Investment (PRI).
",PE,43726,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
85,Vontobel Private Equity,GP,Private Equity Fund of Funds Manager,Switzerland,West Europe,Yes,,No,,PE,PE,,,Yes - Sole focus,https://en.arcanopartners.com/rep/e32b/pdf/1040202/21/arcano-sri-policy---private-equity-march-2019pdf?d=1,,Yes,43693,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
184,Coller Capital,LP,Secondary Fund of Funds Manager,UK,West Europe,Yes,40544,No,43132,"PE, PD",N/A,,,,https://www.collercapital.com/sites/default/files/ESG%20Policy%20%20February%202018.pdf,,"PE, PD",43693,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Anti-bribery,Anti-bribery,Anti-bribery,Anti-bribery,Anti-bribery,2
184,Coller Capital,GP,Secondary Fund of Funds Manager,UK,West Europe,Yes,,,43101,"PE, PD",RE,,,,https://www.invesco.com/static/us/institutions/contentdetail?contentId=409be9df63b77610VgnVCM1000006e36b50aRCRD,,Yes,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Anti-bribery,43132,https://www.collercapital.com/sites/default/files/ESG%20Policy%20%20February%202018.pdf,Modern Slavery & Human Trafficking,Cyber Security/Animal Welfare/Climate Risk,2
211,GCM Grosvenor,LP,Private Equity Fund of Funds Manager,US,North America,Yes,42736,No,,"PE, RE, PD, VC",N/A,,,,https://www.gcmgrosvenor.com/responsible-investing/,,"PE, PD, VC",43725,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
211,GCM Grosvenor,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,,,"PE, RE, PD, VC",N/A,,,,http://www.123-im.com/Public/Files/file/d_claration_123_im_article_173_31_12_2018_a35b03a99c.pdf,,"PE,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
217,Danske Private Equity,LP,Private Equity Fund of Funds Manager,Denmark,Nordic,Yes,,No,43395,PE,RE,INF,HF,Yes,https://danskebank.com/-/media/danske-bank-com/file-cloud/2016/10/sustainable-investment-policy.pdf,"Danske Bank is the parent company of Danske Private Equity which is a signatory of the Principles for Responsible Investment (PRI). It incorporates ESG in its listed equity, fixed income, private equity, property, infrastructure, hedge funds, and money market instruments. Danske Bank is also members of the below affiliations.  ",PE,43697,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,2
217,Danske Private Equity,GP,Private Equity Fund of Funds Manager,Denmark,Nordic,Yes,,No,43395,PE,N/A,,,,https://www.3i.com/media/3955/responsible-investment-summary-150219.pdf,,"PE,VC, HF",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,2
332,Goldman Sachs AIMS Private Equity,LP,Private Equity Fund of Funds Manager,US,North America,Yes,43344,Yes,,"PE, INF, PD, NR, VC",N/A,,,,,"Goldman Sachs Asset Management is the parent company of Goldman Sachs AIMS Private Equity. AIMS focuses on evaluating external ESG and impact managers. Goldman Sachs Asset Management is a signatory to the Principles for Responsible Investment (PRI), Task Force on Climate-related Financial Disclosures, Global Impact Investing Network, Sustainability Accounting Standards Board and CDP. ","PE, INF, PD, NR, VC",43698,N/A: No Update,N/A,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
332,Goldman Sachs AIMS Private Equity,GP,Private Equity Fund of Funds Manager,US,North America,Yes,43344,No,,"PE, INF, PD, NR, VC",N/A,,,,https://www.apax.com/media/771558/apax-responsible-investment-policy-2018-.pdf,,"PE,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
340,Greenpark Capital,LP,Secondary Fund of Funds Manager,UK,West Europe,No,,No,,"PE, INF",N/A,,,No,,,PE,43724,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
340,Greenpark Capital,GP,Secondary Fund of Funds Manager,UK,West Europe,No,,No,,"PE, INF",N/A,,,No,http://www.aresmgmt.com/media/283428/Ares-ESG-Policy.pdf,,"PE,PD,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
350,Hamilton Lane,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,Unknown,,"PE, RE, INF, PD, NR",N/A,,,,https://www.hamiltonlane.com/Customer-Content/WWW/News/PDFs/ESG_Policy_Statement.pdf,Hamilton Lane is a signatory of the Principles for Responsible Investment (PRI).   ,"PE, RE, INF, PD, NR, VC",43732,Full Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
350,Hamilton Lane,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,,,"PE, RE, INF, PD, NR",N/A,,,No,,,"PE,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
355,HarbourVest Partners,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, RE, INF, PD, NR, VC",N/A,,,,https://www.harbourvest.com/wp-content/uploads/ESG-Policy.pdf,HarbourVest Partners is a a signatory to Principles for Responsible Investment (PRI) but does not disclose its transparency report. ,"PE, RE, INF, PD, NR, VC",43699,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whistleblower Policy,Whistleblower Policy,Whistleblower Policy,Whistleblower Policy,Whistleblower Policy,2
355,HarbourVest Partners,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, RE, INF, PD, NR, VC",N/A,,,,https://www.ardian.com/sites/default/files/docs/Responsible_Investment_Policy_Ardian_Feb2018_EN.pdf,,"PE,PD,VC",43720,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whistleblower Policy,0,https://www.harbourvest.com/wp-content/uploads/MSA-Statement-for-2018_v2.pdf,Modern Slavery & Human Trafficking,Equal Opportunities & Diversity,2
362,Henderson Equity Partners,LP,Private Equity Fund of Funds Manager,UK,West Europe,Yes,40179,No,,"PE, RE, INF",N/A,,,Yes,,"Henderson Equity Partners is a signatory to the Principles for Responsible Investment (PRI), a supporter of the Task Force on Climate-related Financial Disclosures and a member of the International Corporate Governance Network and Ceres. ","PE, RE, INF",43726,Partial Update,Web Research,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
362,Henderson Equity Partners,GP,Private Equity Fund of Funds Manager,UK,West Europe,Yes,,,,"PE, RE, INF",N/A,,,,,,"PE,VC",,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
375,Horsley Bridge Partners,LP,Private Equity Fund of Funds Manager,US,North America,No,,No,,PE,N/A,,,No,,,"PE, VC",43732,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
375,Horsley Bridge Partners,GP,Private Equity Fund of Funds Manager,US,North America,No,,No,,PE,N/A,,,Consider as part of general strategy,https://www.blackstone.com/our-impact/corporate-social-responsibility/overview,"Blackstone has been a strong supporter of efforts by the private equity industry to promote the highest standards for ethical investing and improve transparency. The firm has not issued an ESG policy but integrates ESG factors as part of investment decision-making and ownership activities.

Blackstone is a founding member of the (AIC), formerly called Private Equity Growth Capital Council (PEGCC). In 2009, Blackstone assisted in producing the Council's Guidelines for Responsible Investment, which it has adheres to for all investments.

In May 2019, Blackstone launched its impact investing platform within its Strategic Partners division.","PE,PD,NR,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
401,Invesco Private Capital,LP,Private Equity Fund of Funds Manager,US,North America,Yes,43525,No,,"PE, PD, VC",N/A,,,,https://www.invesco.co.uk/institutional/about-us/responsible-investing-and-esg,,"PE, PD, VC",43726,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
401,Invesco Private Capital,GP,Private Equity Fund of Funds Manager,US,North America,Yes,43525,No,,"PE, PD, VC",N/A,,,,https://www.cinven.com/media/2086/81-cinven-esg-policy.pdf,,PE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
436,KKR,GP,Private Equity Firm,US,North America,Yes,,Yes - Bespoke investment arm/funds,,,N/A,,,,https://www.collercapital.com/sites/default/files/ESG%20Policy%20%20February%202018.pdf,,PE,43693,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Modern Slavery & Human Trafficking,0,https://www.kkr.com/_files/pdf/UK_Modern_Slavery_Act_Transparency_Statement_September_2019.pdf,0,0,2
436,KKR,GP (HF),Private Equity Firm,US,North America,Yes,41639,Yes - Bespoke investment arm/funds,42576,N/A,N/A,,,,,,HF,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Modern Slavery & Human Trafficking,0,https://www.kkr.com/_files/pdf/UK_Modern_Slavery_Act_Transparency_Statement_September_2019.pdf,0,0,2
451,Neuberger Berman,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,Yes,43525,"PE, INF, PD, NR, VC",N/A,,,,https://www.nb.com/documents/public/global/Neuberger_Berman_Environmental-Social-and-Governance_Policy.pdf,Neuberger Berman standardized ESG diligence in private equity in 2007 and its ESG Committe was established in 2012.,"PE, INF, PD, NR, VC",43712,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
451,Neuberger Berman,GP,Private Equity Fund of Funds Manager,US,North America,Yes,32873,Yes - Bespoke investment arm/funds,43555,"PE, INF, PD, NR, VC",N/A,,,No,https://www.ddjcap.com/wp-content/uploads/Responsible-Investment-Policy-April-2019.pdf,,"PE,PD",,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
458,Lexington Partners,LP,Secondary Fund of Funds Manager,US,North America,Yes,,No,,"PE, INF, PD, NR, VC",N/A,,,,,Lexington Partners is a signatory to Principles for Responsible Investment (PRI). It does not disclose its transparency report. ,"PE, INF, PD, NR, VC",43699,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
458,Lexington Partners,GP,Secondary Fund of Funds Manager,US,North America,Yes,,,,"PE, INF, PD, NR, VC",N/A,,,,https://www.dhpep.com/responsible-investing/esg-policy,,"PE,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
459,LGT Capital Partners,LP,Private Equity Fund of Funds Manager,Switzerland,West Europe,Yes,,Yes,,"PE, HF, RE, PD, VC",N/A,,,,https://www.lgtcp.com/shared/.content/publikationen/cp/esg_download/LGT-CP-ESG-Policy_en.pdf,"LGT Capital Partners is a signatory of Principles for Responsible Investment (PRI), Eurosif and Carbon Disclosure Project (Formerly). It addressed ESG incorporation into its listed equity, fixed income, private equity, property and fund of hedge funds investments. ","PE, PD, VC",43699,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
459,LGT Capital Partners,GP,Private Equity Fund of Funds Manager,Switzerland,West Europe,Yes,,,,"PE, HF, RE, PD, VC",N/A,,,,,,"PE,VC",,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
493,Green Arrow Capital,LP,Private Equity Fund of Funds Manager,Italy,West Europe,No,,Yes,,"PE, NR, VC",N/A,,,No,,,"PE, NR, VC",43711,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
493,Green Arrow Capital,GP,Private Equity Fund of Funds Manager,Italy,West Europe,No,,Yes - Bespoke investment arm/funds,,"PE, NR, VC",N/A,,,,,,"PE,PD,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
504,BlackRock Private Equity Partners,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, PD, VC",N/A,,,No,https://www.blackrock.com/corporate/responsibility#investment-process-integration,,"PE, PD, VC",43712,Partial Update,Web Research,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
504,BlackRock Private Equity Partners,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, PD, VC",N/A,,,No,https://www.firstreserve.com/investment-strategy/esg-and-pri-in-energy,"First Reserve contributed to national environmental standards formulation process through collaboration with the US Department of Energy to improve shale gas production best practices, disclosure and technology. It also adopted the principles of the Private Equity Council and endorsed the European Venture Capital Association Code of Conduct and the guidelines of Transparency International.","PE,VC",,,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
539,GoldPoint Partners,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, PD",N/A,,,Yes,,"GoldPoint Partners is a signatory to the Principles for Responsible Investment (PRI).
","PE, PD",43724,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
539,GoldPoint Partners,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,"PE, PD",N/A,,,Consider as part of general strategy,,,"PE,VC",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
544,Nordea Private Equity,LP,Private Equity Fund of Funds Manager,Denmark,Nordic,Yes,43009,No,,PE,N/A,,,Yes,https://www.nordea.com/en/sustainability/sustainable-business/what-is-esg/,,PE,43720,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2
544,Nordea Private Equity,GP,Private Equity Fund of Funds Manager,Denmark,Nordic,Yes,43009,No,,PE,N/A,,,No,,,PE,43724,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2
573,Pantheon,LP,Private Equity Fund of Funds Manager,UK,West Europe,Yes,,No,,"PE, PD, VC",N/A,,,Yes,http://www.pantheon.com/wp-content/uploads/2019/07/ESG_Policy_July_2019.pdf,"Pantheon's ESG Committee sets its ESG strategy and policy, and provides feedback across the business ad to external stakeholders. 

Pantheon's SRI exclusion policy can be found in the ESG Policy July 2019 document. Clients may also view an extensive range of material covering Pantheon's adoption of ESG under the 'Corporate Responsibility' landing page of its website. ","PE, PD, VC",43725,Partial Update,Web Research,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
573,Pantheon,GP,Private Equity Fund of Funds Manager,UK,West Europe,Yes,,No,,"PE, PD, VC",N/A,,,No,,,"PE,VC",,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
